r030,txt,rate,cc,exchangedate
36,Австралійський долар,21.6852,AUD,01.01.2021
124,Канадський долар,22.1154,CAD,01.01.2021
156,Юань Женьміньбі,4.3333,CNY,01.01.2021
191,Куна,4.6037,HRK,01.01.2021
203,Чеська крона,1.3238,CZK,01.01.2021
208,Данська крона,4.67,DKK,01.01.2021
344,Гонконгівський долар,3.6472,HKD,01.01.2021
348,Форинт,0.095181,HUF,01.01.2021
356,Індійська рупія,0.3857,INR,01.01.2021
360,Рупія,0.0020119,IDR,01.01.2021
376,Новий ізраїльський шекель,8.8113,ILS,01.01.2021
392,Єна,0.27444,JPY,01.01.2021
398,Теньге,0.067124,KZT,01.01.2021
410,Вона,0.026015,KRW,01.01.2021
484,Мексиканське песо,1.4247,MXN,01.01.2021
498,Молдовський лей,1.6413,MDL,01.01.2021
554,Новозеландський долар,20.3506,NZD,01.01.2021
578,Норвезька крона,3.2957,NOK,01.01.2021
643,Російський рубль,0.37823,RUB,01.01.2021
682,Саудівський ріял,7.5359,SAR,01.01.2021
702,Сінгапурський долар,21.3651,SGD,01.01.2021
710,Ренд,1.9284,ZAR,01.01.2021
752,Шведська крона,3.453,SEK,01.01.2021
756,Швейцарський франк,32.0156,CHF,01.01.2021
818,Єгипетський фунт,1.7956,EGP,01.01.2021
826,Фунт стерлінгів,38.4393,GBP,01.01.2021
840,Долар США,28.2746,USD,01.01.2021
933,Білоруський рубль,10.9477,BYN,01.01.2021
944,Азербайджанський манат,16.6439,AZN,01.01.2021
946,Румунський лей,7.1366,RON,01.01.2021
949,Турецька ліра,3.8448,TRY,01.01.2021
960,СПЗ (спеціальні права запозичення),40.8829,XDR,01.01.2021
975,Болгарський лев,17.7571,BGN,01.01.2021
978,Євро,34.7396,EUR,01.01.2021
985,Злотий,7.6348,PLN,01.01.2021
12,Алжирський динар,0.21416,DZD,01.01.2021
50,Така,0.33343,BDT,01.01.2021
51,Вірменський драм,0.054105,AMD,01.01.2021
364,Іранський ріал,0.0006732,IRR,01.01.2021
368,Іракський динар,0.019366,IQD,01.01.2021
417,Сом,0.3421,KGS,01.01.2021
422,Ліванський фунт,0.018756,LBP,01.01.2021
434,Лівійський динар,21.1383,LYD,01.01.2021
458,Малайзійський ринггіт,7.0047,MYR,01.01.2021
504,Марокканський дирхам,3.1763,MAD,01.01.2021
704,Донг,0.0012244,VND,01.01.2021
764,Бат,0.9445,THB,01.01.2021
784,Дирхам ОАЕ,7.698,AED,01.01.2021
788,Туніський динар,10.5192,TND,01.01.2021
860,Узбецький сум,0.0026988,UZS,01.01.2021
901,Новий тайванський долар,1.006,TWD,01.01.2021
934,Туркменський новий манат,8.0785,TMT,01.01.2021
936,Ганське седі,4.8198,GHS,01.01.2021
941,Сербський динар,0.29536,RSD,01.01.2021
972,Сомоні,2.5022,TJS,01.01.2021
981,Ларі,8.6366,GEL,01.01.2021
986,Бразильський реал,5.4505,BRL,01.01.2021
959,Золото,53200.92,XAU,01.01.2021
961,Срібло,744.19,XAG,01.01.2021
962,Платина,30203.49,XPT,01.01.2021
964,Паладій,66289.52,XPD,01.01.2021
36,Австралійський долар,21.6852,AUD,02.01.2021
124,Канадський долар,22.1154,CAD,02.01.2021
156,Юань Женьміньбі,4.3333,CNY,02.01.2021
191,Куна,4.6037,HRK,02.01.2021
203,Чеська крона,1.3238,CZK,02.01.2021
208,Данська крона,4.67,DKK,02.01.2021
344,Гонконгівський долар,3.6472,HKD,02.01.2021
348,Форинт,0.095181,HUF,02.01.2021
356,Індійська рупія,0.3857,INR,02.01.2021
360,Рупія,0.0020119,IDR,02.01.2021
376,Новий ізраїльський шекель,8.8113,ILS,02.01.2021
392,Єна,0.27444,JPY,02.01.2021
398,Теньге,0.067124,KZT,02.01.2021
410,Вона,0.026015,KRW,02.01.2021
484,Мексиканське песо,1.4247,MXN,02.01.2021
498,Молдовський лей,1.6413,MDL,02.01.2021
554,Новозеландський долар,20.3506,NZD,02.01.2021
578,Норвезька крона,3.2957,NOK,02.01.2021
643,Російський рубль,0.37823,RUB,02.01.2021
682,Саудівський ріял,7.5359,SAR,02.01.2021
702,Сінгапурський долар,21.3651,SGD,02.01.2021
710,Ренд,1.9284,ZAR,02.01.2021
752,Шведська крона,3.453,SEK,02.01.2021
756,Швейцарський франк,32.0156,CHF,02.01.2021
818,Єгипетський фунт,1.7956,EGP,02.01.2021
826,Фунт стерлінгів,38.4393,GBP,02.01.2021
840,Долар США,28.2746,USD,02.01.2021
933,Білоруський рубль,10.9477,BYN,02.01.2021
944,Азербайджанський манат,16.6439,AZN,02.01.2021
946,Румунський лей,7.1366,RON,02.01.2021
949,Турецька ліра,3.8448,TRY,02.01.2021
960,СПЗ (спеціальні права запозичення),40.8829,XDR,02.01.2021
975,Болгарський лев,17.7571,BGN,02.01.2021
978,Євро,34.7396,EUR,02.01.2021
985,Злотий,7.6348,PLN,02.01.2021
12,Алжирський динар,0.21416,DZD,02.01.2021
50,Така,0.33343,BDT,02.01.2021
51,Вірменський драм,0.054105,AMD,02.01.2021
364,Іранський ріал,0.0006732,IRR,02.01.2021
368,Іракський динар,0.019366,IQD,02.01.2021
417,Сом,0.3421,KGS,02.01.2021
422,Ліванський фунт,0.018756,LBP,02.01.2021
434,Лівійський динар,21.1383,LYD,02.01.2021
458,Малайзійський ринггіт,7.0047,MYR,02.01.2021
504,Марокканський дирхам,3.1763,MAD,02.01.2021
704,Донг,0.0012244,VND,02.01.2021
764,Бат,0.9445,THB,02.01.2021
784,Дирхам ОАЕ,7.698,AED,02.01.2021
788,Туніський динар,10.5192,TND,02.01.2021
860,Узбецький сум,0.0026988,UZS,02.01.2021
901,Новий тайванський долар,1.006,TWD,02.01.2021
934,Туркменський новий манат,8.0785,TMT,02.01.2021
936,Ганське седі,4.8198,GHS,02.01.2021
941,Сербський динар,0.29536,RSD,02.01.2021
972,Сомоні,2.5022,TJS,02.01.2021
981,Ларі,8.6366,GEL,02.01.2021
986,Бразильський реал,5.4505,BRL,02.01.2021
959,Золото,53200.92,XAU,02.01.2021
961,Срібло,744.19,XAG,02.01.2021
962,Платина,30203.49,XPT,02.01.2021
964,Паладій,66289.52,XPD,02.01.2021
36,Австралійський долар,21.6852,AUD,03.01.2021
124,Канадський долар,22.1154,CAD,03.01.2021
156,Юань Женьміньбі,4.3333,CNY,03.01.2021
191,Куна,4.6037,HRK,03.01.2021
203,Чеська крона,1.3238,CZK,03.01.2021
208,Данська крона,4.67,DKK,03.01.2021
344,Гонконгівський долар,3.6472,HKD,03.01.2021
348,Форинт,0.095181,HUF,03.01.2021
356,Індійська рупія,0.3857,INR,03.01.2021
360,Рупія,0.0020119,IDR,03.01.2021
376,Новий ізраїльський шекель,8.8113,ILS,03.01.2021
392,Єна,0.27444,JPY,03.01.2021
398,Теньге,0.067124,KZT,03.01.2021
410,Вона,0.026015,KRW,03.01.2021
484,Мексиканське песо,1.4247,MXN,03.01.2021
498,Молдовський лей,1.6413,MDL,03.01.2021
554,Новозеландський долар,20.3506,NZD,03.01.2021
578,Норвезька крона,3.2957,NOK,03.01.2021
643,Російський рубль,0.37823,RUB,03.01.2021
682,Саудівський ріял,7.5359,SAR,03.01.2021
702,Сінгапурський долар,21.3651,SGD,03.01.2021
710,Ренд,1.9284,ZAR,03.01.2021
752,Шведська крона,3.453,SEK,03.01.2021
756,Швейцарський франк,32.0156,CHF,03.01.2021
818,Єгипетський фунт,1.7956,EGP,03.01.2021
826,Фунт стерлінгів,38.4393,GBP,03.01.2021
840,Долар США,28.2746,USD,03.01.2021
933,Білоруський рубль,10.9477,BYN,03.01.2021
944,Азербайджанський манат,16.6439,AZN,03.01.2021
946,Румунський лей,7.1366,RON,03.01.2021
949,Турецька ліра,3.8448,TRY,03.01.2021
960,СПЗ (спеціальні права запозичення),40.8829,XDR,03.01.2021
975,Болгарський лев,17.7571,BGN,03.01.2021
978,Євро,34.7396,EUR,03.01.2021
985,Злотий,7.6348,PLN,03.01.2021
12,Алжирський динар,0.21416,DZD,03.01.2021
50,Така,0.33343,BDT,03.01.2021
51,Вірменський драм,0.054105,AMD,03.01.2021
364,Іранський ріал,0.0006732,IRR,03.01.2021
368,Іракський динар,0.019366,IQD,03.01.2021
417,Сом,0.3421,KGS,03.01.2021
422,Ліванський фунт,0.018756,LBP,03.01.2021
434,Лівійський динар,21.1383,LYD,03.01.2021
458,Малайзійський ринггіт,7.0047,MYR,03.01.2021
504,Марокканський дирхам,3.1763,MAD,03.01.2021
704,Донг,0.0012244,VND,03.01.2021
764,Бат,0.9445,THB,03.01.2021
784,Дирхам ОАЕ,7.698,AED,03.01.2021
788,Туніський динар,10.5192,TND,03.01.2021
860,Узбецький сум,0.0026988,UZS,03.01.2021
901,Новий тайванський долар,1.006,TWD,03.01.2021
934,Туркменський новий манат,8.0785,TMT,03.01.2021
936,Ганське седі,4.8198,GHS,03.01.2021
941,Сербський динар,0.29536,RSD,03.01.2021
972,Сомоні,2.5022,TJS,03.01.2021
981,Ларі,8.6366,GEL,03.01.2021
986,Бразильський реал,5.4505,BRL,03.01.2021
959,Золото,53200.92,XAU,03.01.2021
961,Срібло,744.19,XAG,03.01.2021
962,Платина,30203.49,XPT,03.01.2021
964,Паладій,66289.52,XPD,03.01.2021
36,Австралійський долар,21.6852,AUD,04.01.2021
124,Канадський долар,22.1154,CAD,04.01.2021
156,Юань Женьміньбі,4.3333,CNY,04.01.2021
191,Куна,4.6037,HRK,04.01.2021
203,Чеська крона,1.3238,CZK,04.01.2021
208,Данська крона,4.67,DKK,04.01.2021
344,Гонконгівський долар,3.6472,HKD,04.01.2021
348,Форинт,0.095181,HUF,04.01.2021
356,Індійська рупія,0.3857,INR,04.01.2021
360,Рупія,0.0020119,IDR,04.01.2021
376,Новий ізраїльський шекель,8.8113,ILS,04.01.2021
392,Єна,0.27444,JPY,04.01.2021
398,Теньге,0.067124,KZT,04.01.2021
410,Вона,0.026015,KRW,04.01.2021
484,Мексиканське песо,1.4247,MXN,04.01.2021
498,Молдовський лей,1.6413,MDL,04.01.2021
554,Новозеландський долар,20.3506,NZD,04.01.2021
578,Норвезька крона,3.2957,NOK,04.01.2021
643,Російський рубль,0.37823,RUB,04.01.2021
682,Саудівський ріял,7.5359,SAR,04.01.2021
702,Сінгапурський долар,21.3651,SGD,04.01.2021
710,Ренд,1.9284,ZAR,04.01.2021
752,Шведська крона,3.453,SEK,04.01.2021
756,Швейцарський франк,32.0156,CHF,04.01.2021
